DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1;Crm Cd 2;Crm Cd 3;Crm Cd 4;LOCATION;Cross Street;LAT;LON
201512468;07/10/2020 0:00;06/28/2020 12:00:00 AM;1000;15;N Hollywood;1566;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;10900    WHIPPLE                      ST;;341.481;-1.183.673
210809694;05/26/2021 12:00:00 AM;04/15/2020 12:00:00 AM;1820;8;West LA;857;2;354;THEFT OF IDENTITY;0100 0929;28;M;F;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;1400 S  CANFIELD                     AV;;340.548;-1.183.894
201600575;02/20/2020 12:00:00 AM;02/20/2020 12:00:00 AM;2115;16;Foothill;1602;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1816 0906 0913 0554 0416 0450 1100 0446 0417 1270;51;M;H;101;STREET;102;HAND GUN;AO;Adult Other;230;998;;;12700    LOUVRE                       ST;;342.806;-1.184.108
201605502;02/05/2020 0:00;02/04/2020 0:00;1800;16;Foothill;1654;1;330;BURGLARY FROM VEHICLE;1300 1822 1609 0344;54;M;H;101;STREET;;;IC;Invest Cont;330;;;;OSBORNE;GLENOAKS;342.632;-1.184.022
212110822;07/01/2021 0:00;12/02/2020 0:00;900;21;Topanga;2137;2;354;THEFT OF IDENTITY;929;50;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;354;;;;7300    INDEPENDENCE                 AV;;342.029;-1.185.906
201315539;08/15/2020 12:00:00 AM;08/14/2020 12:00:00 AM;2100;13;Newton;1352;1;330;BURGLARY FROM VEHICLE;1609 0344;35;M;H;101;STREET;;;IC;Invest Cont;330;;;;4500    SAN PEDRO                    PL;;340.027;-1.182.734
201420810;11/22/2020 12:00:00 AM;11/22/2020 12:00:00 AM;1145;14;Pacific;1431;1;480;BIKE - STOLEN;344;30;M;O;117;BEACH;;;IC;Invest Cont;480;;;;OCEAN FRONT                  WK;HORIZON                      AV;33.988;-1.184.746
201711458;07/22/2020 12:00:00 AM;06/26/2020 12:00:00 AM;1;17;Devonshire;1728;2;354;THEFT OF IDENTITY;1822;44;F;C;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;18400    TRIBUNE                      ST;;342.673;-1.185.349
231907172;03/21/2023 12:00:00 AM;03/15/2020 12:00:00 AM;1200;19;Mission;1983;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1259 0913 1817 1801 0503;12;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;812;860;;;8500    COLUMBUS                     AV;;342.246;-1.184.654
202116909;12/11/2020 0:00;12/11/2020 0:00;1725;21;Topanga;2126;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;0913 0421 0334;19;M;H;101;STREET;511;VERBAL THREAT;AA;Adult Arrest;930;;;;21200    LULL                         ST;;342.095;-1.185.956
201506335;02/18/2020 12:00:00 AM;02/12/2020 0:00;1;15;N Hollywood;1583;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);1300 0344;36;F;W;101;STREET;;;IC;Invest Cont;331;;;;4200    TUJUNGA                      AV;;341.451;-1.183.875
201511789;06/25/2020 12:00:00 AM;06/25/2020 12:00:00 AM;1505;15;N Hollywood;1532;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;12200    BURBANK                      BL;;341.797;-1.184.014
201705980;02/13/2020 12:00:00 AM;02/13/2020 12:00:00 AM;745;17;Devonshire;1794;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);329;31;F;H;108;PARKING LOT;;;IC;Invest Cont;740;;;;8300    AMIGO                        AV;;342.215;-1.185.379
202007781;03/20/2020 12:00:00 AM;03/20/2020 12:00:00 AM;1740;20;Olympic;2034;1;310;BURGLARY;1822 0342 0394 0344;0;X;X;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;310;;;;700 S  ARDMORE                      AV;;340.597;-118.302
201818966;10/16/2020 12:00:00 AM;10/16/2020 12:00:00 AM;230;18;Southeast;1824;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0344 1822;36;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont;440;;;;10300    AVALON                       BL;;339.429;-118.265
201409893;04/19/2020 12:00:00 AM;04/18/2020 12:00:00 AM;1143;14;Pacific;1464;2;354;THEFT OF IDENTITY;1501;32;M;W;248;CELL PHONE STORE;;;IC;Invest Cont;354;;;;12900    AGUSTIN                      PL;;339.755;-1.184.213
201900596;02/07/2020 0:00;02/06/2020 0:00;1220;19;Mission;1959;1;440;THEFT PLAIN - PETTY ($950 & UNDER);325;0;M;W;248;CELL PHONE STORE;;;IC;Invest Cont;440;;;;14000    VAN NUYS                     BL;;342.546;-1.184.379
201707698;03/24/2020 12:00:00 AM;03/23/2020 12:00:00 AM;2000;17;Devonshire;1793;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER);329;26;F;H;108;PARKING LOT;;;IC;Invest Cont;745;;;;19200    PARTHENIA                    ST;;342.283;-1.185.514
211220006;09/20/2021 12:00:00 AM;09/15/2020 12:00:00 AM;1750;12;77th Street;1208;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0344 0377;28;M;H;102;SIDEWALK;;;IC;Invest Cont;440;;;;HOOVER                       ST;52ND                         ST;339.957;-1.182.872
201817341;09/16/2020 12:00:00 AM;09/16/2020 12:00:00 AM;1830;18;Southeast;1836;1;761;BRANDISH WEAPON;2000 0913 1814 0334 1300;37;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);109;SEMI-AUTOMATIC PISTOL;IC;Invest Cont;761;;;;10800    COMPTON                      AV;;339.383;-1.182.494
201604484;01/13/2020 12:00:00 AM;01/13/2020 12:00:00 AM;730;16;Foothill;1651;1;330;BURGLARY FROM VEHICLE;344;23;F;A;108;PARKING LOT;;;IC;Invest Cont;330;;;;9400    REMICK                       AV;;342.397;-1.184.149
201610349;06/23/2020 12:00:00 AM;06/23/2020 12:00:00 AM;2255;16;Foothill;1638;1;310;BURGLARY;1822 0358 1307;0;M;O;725;GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY);;;IC;Invest Cont;310;;;;7700    FOOTHILL                     BL;;342.595;-118.293
202018728;12/23/2020 12:00:00 AM;12/23/2020 12:00:00 AM;1400;20;Olympic;2063;1;410;BURGLARY FROM VEHICLE, ATTEMPTED;1202 1822 0342 0202;73;F;H;101;STREET;;;IC;Invest Cont;410;;;;1100 S  OXFORD                       AV;;340.499;-1.183.074
202106218;02/19/2020 12:00:00 AM;02/18/2020 12:00:00 AM;1800;21;Topanga;2115;1;440;THEFT PLAIN - PETTY ($950 & UNDER);0344 2032;30;M;H;109;PARK/PLAYGROUND;;;IC;Invest Cont;440;;;;21800    LANARK                       ST;;342.176;-1.186.031
201809184;04/05/2020 0:00;04/05/2020 0:00;1300;18;Southeast;1826;2;624;BATTERY - SIMPLE ASSAULT;0913 0416 0400;26;F;H;101;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;624;;;;9500    MAIE                         AV;;339.507;-1.182.445
201420829;11/26/2020 12:00:00 AM;11/26/2020 12:00:00 AM;135;14;Pacific;1472;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);0344 1300 1606;22;F;H;108;PARKING LOT;;;IC;Invest Cont;420;;;;200    CULVER                       BL;;339.589;-1.184.484
201711672;07/28/2020 12:00:00 AM;07/28/2020 12:00:00 AM;1415;17;Devonshire;1735;2;900;VIOLATION OF COURT ORDER;2038 0913 1202 2004 2003 0562;69;M;W;501;SINGLE FAMILY DWELLING;;;AA;Adult Arrest;900;;;;11000    ALDEA                        AV;;342.709;-1.185.088
201711310;07/20/2020 12:00:00 AM;06/20/2020 12:00:00 AM;800;17;Devonshire;1755;2;662;BUNCO, GRAND THEFT;0930 0100 1202 0701;82;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;662;;;;18100    ANDREA CIR;;342.542;-1.185.283
201705529;02/04/2020 0:00;01/24/2020 12:00:00 AM;1200;17;Devonshire;1727;2;354;THEFT OF IDENTITY;1822 0930 0926;25;F;H;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;18600    HILLSBORO                    RD;;342.604;-1.185.408
